months_driven,total_kms_driven,make,vehicle_model,year,fuel_type,last_service_type,days_until_service,kms_until_service,driver_profile,trigger
3.89,2545.5,Maruti,Swift,2015,diesel,brake_service,38,810.0,light,time
3.02,4828.2,Maruti,Swift,2017,petrol,full_service,96,4989.6,average,time
4.59,7043.9,Hyundai,Tucson,2011,petrol,oil_change,19,956.1,average,km
1.2,4275.7,Ford,Escape,2018,electric,oil_change,313,37233.8,heavy,time
3.91,5854.4,Toyota,Camry,2012,diesel,oil_change,83,4089.8,average,time
0.55,1136.6,Volkswagen,Golf,2011,petrol,inspection,100,6863.4,average,km
1.63,1449.4,Volkswagen,Polo,2022,petrol,oil_change,143,4043.8,light,time
5.47,11265.4,Volkswagen,Golf,2018,hybrid,oil_change,10,705.3,heavy,time
0.7,2255.1,Hyundai,i20,2017,diesel,full_service,121,12744.9,heavy,km
0.2,518.9,Volkswagen,Tiguan,2012,petrol,full_service,94,7481.1,heavy,km
0.68,1981.4,Honda,CR-V,2019,petrol,full_service,76,8018.6,heavy,km
1.97,4750.2,Ford,Fiesta,2022,diesel,brake_service,110,8704.9,heavy,time
3.49,5712.6,Honda,Accord,2021,hybrid,oil_change,58,3135.5,average,time
1.16,3347.8,Maruti,Swift,2015,petrol,oil_change,50,4652.2,heavy,km
5.96,6924.2,Hyundai,Tucson,2016,diesel,full_service,9,361.8,average,time
3.87,3335.2,Maruti,Vitara,2018,diesel,oil_change,59,1652.0,light,time
1.81,5760.8,Toyota,RAV4,2021,petrol,oil_change,50,5239.2,heavy,km
4.17,6664.1,Ford,Fiesta,2020,diesel,oil_change,62,3249.3,average,time
1.31,1848.8,Ford,Escape,2014,petrol,oil_change,113,5359.1,average,time
3.43,2802.5,Volkswagen,Polo,2014,petrol,full_service,86,2384.9,light,time
1.42,4982.6,Honda,CR-V,2013,diesel,full_service,60,7017.4,heavy,km
2.13,2012.0,BMW,X3,2024,petrol,oil_change,130,3936.1,light,time
5.35,7719.1,BMW,X3,2015,diesel,oil_change,30,1403.3,average,time
1.43,2928.5,Honda,CR-V,2011,hybrid,full_service,100,6671.5,average,km
0.13,199.0,Hyundai,i20,2013,petrol,inspection,122,7801.0,average,km
0.88,2555.4,Honda,Civic,2020,hybrid,oil_change,100,9444.6,heavy,km
4.69,7856.1,Volkswagen,Tiguan,2023,diesel,brake_service,37,2033.9,average,time
2.67,7694.1,Hyundai,i20,2020,diesel,oil_change,78,7305.9,heavy,km
12.3,25573.3,Volkswagen,Polo,2024,electric,full_service,9,604.6,average,time
3.65,6667.4,Honda,Civic,2015,petrol,oil_change,24,1332.6,average,km
5.34,8216.0,BMW,X3,2022,diesel,full_service,22,1101.4,average,time
0.3,193.2,Honda,Civic,2017,diesel,oil_change,169,3821.2,light,time
2.59,6668.8,Toyota,Corolla,2012,petrol,inspection,17,1331.2,heavy,km
2.65,4143.0,BMW,3 Series,2014,diesel,full_service,133,7015.0,average,time
5.46,4062.2,Volkswagen,Tiguan,2011,hybrid,oil_change,35,855.1,light,time
2.34,6950.1,Maruti,Baleno,2012,petrol,oil_change,10,1049.9,heavy,km
4.56,3064.6,Hyundai,Tucson,2014,diesel,full_service,28,602.0,light,time
4.93,3171.2,Maruti,Baleno,2015,petrol,oil_change,31,659.5,light,time
0.45,833.6,Hyundai,i20,2017,petrol,oil_change,150,9166.4,average,km
6.19,6406.9,Volkswagen,Golf,2021,hybrid,inspection,13,431.7,light,time
1.19,1192.5,Honda,Accord,2012,diesel,full_service,127,4270.2,light,time
2.02,1397.1,BMW,X3,2012,petrol,oil_change,163,3570.3,light,time
3.08,1769.0,Ford,Focus,2023,hybrid,oil_change,56,1086.5,light,time
1.59,4030.8,Toyota,RAV4,2020,hybrid,brake_service,95,7969.2,heavy,km
2.47,3030.0,Hyundai,Tucson,2012,hybrid,brake_service,109,4463.6,average,time
2.92,1952.3,Honda,Civic,2024,petrol,inspection,124,2655.2,light,time
7.52,8471.5,Toyota,RAV4,2023,electric,oil_change,172,6389.0,average,time
4.16,8825.9,Ford,Focus,2024,diesel,oil_change,47,3296.4,average,time
3.86,2634.9,Ford,Escape,2021,diesel,oil_change,77,1710.3,light,time
7.71,6211.0,Volkswagen,Golf,2011,electric,full_service,109,2870.9,light,time
4.77,4318.9,Maruti,Swift,2022,diesel,full_service,39,1164.4,light,time
1.58,4464.1,Volkswagen,Golf,2010,petrol,oil_change,39,3535.9,heavy,km
2.59,7880.2,Honda,CR-V,2012,hybrid,full_service,18,1719.8,heavy,km
8.43,12578.6,Volkswagen,Golf,2023,electric,oil_change,66,3218.6,average,time
3.56,6054.1,Ford,Escape,2023,petrol,oil_change,47,2658.5,average,time
0.75,1299.3,Volkswagen,Golf,2012,petrol,full_service,122,6700.7,average,km
0.61,1079.4,Toyota,Camry,2024,petrol,oil_change,176,9920.6,average,km
4.21,11532.1,Ford,Fiesta,2012,diesel,oil_change,5,467.9,heavy,km
0.7,1278.1,Hyundai,Creta,2023,petrol,oil_change,138,7999.2,average,time
0.27,687.4,Volkswagen,Golf,2011,petrol,full_service,77,7312.6,heavy,km
2.86,5645.4,Maruti,Baleno,2014,petrol,brake_service,35,2354.6,average,km
3.3,10893.9,Ford,Escape,2019,hybrid,inspection,11,1106.1,heavy,km
0.63,627.5,Toyota,Camry,2016,petrol,oil_change,165,5825.1,average,time
3.32,10771.1,Honda,CR-V,2022,petrol,oil_change,2,228.9,heavy,km
0.84,1230.5,BMW,X3,2024,electric,oil_change,332,16406.1,average,time
12.7,18780.4,Honda,Accord,2019,electric,oil_change,60,2919.6,average,time
3.28,6199.1,BMW,5 Series,2013,petrol,oil_change,29,1800.9,average,km
1.16,1077.3,Honda,Accord,2012,petrol,oil_change,159,4906.7,light,time
5.71,4431.6,BMW,5 Series,2017,petrol,full_service,1,23.0,light,time
6.06,9511.5,Maruti,Swift,2021,petrol,oil_change,3,176.0,average,time
1.22,3588.2,BMW,X3,2010,petrol,inspection,46,4411.8,heavy,km
2.39,6354.1,Ford,Fiesta,2016,diesel,full_service,94,8170.3,heavy,time
1.28,1373.6,BMW,5 Series,2016,diesel,oil_change,146,5114.3,average,time
2.12,3167.3,Volkswagen,Polo,2018,hybrid,brake_service,149,7275.3,average,time
0.6,2071.3,Toyota,Corolla,2020,hybrid,oil_change,88,9928.7,heavy,km
4.66,5945.7,BMW,5 Series,2022,petrol,oil_change,47,1948.5,average,time
2.28,3761.7,BMW,3 Series,2013,hybrid,oil_change,103,5838.3,average,km
0.62,2161.9,Honda,Civic,2015,petrol,oil_change,52,5838.1,heavy,km
3.77,8914.5,Toyota,Camry,2019,petrol,inspection,14,1085.5,heavy,km
1.76,5873.6,Volkswagen,Polo,2020,petrol,full_service,38,4126.4,heavy,km
3.25,6997.7,Toyota,RAV4,2013,petrol,inspection,14,1002.3,heavy,km
1.71,1837.3,Volkswagen,Polo,2022,petrol,brake_service,116,4063.5,average,time
1.16,727.2,BMW,5 Series,2024,petrol,oil_change,136,2649.3,light,time
1.32,3155.7,Maruti,Vitara,2021,petrol,full_service,98,7844.3,heavy,km
2.41,3623.7,Toyota,RAV4,2016,petrol,oil_change,116,5822.1,average,time
4.8,4665.6,BMW,5 Series,2015,petrol,oil_change,34,1080.1,light,time
2.8,3578.9,Maruti,Swift,2015,diesel,oil_change,89,3821.1,average,time
5.1,8517.0,Toyota,RAV4,2012,diesel,oil_change,56,3092.2,average,time
5.04,5047.3,Ford,Focus,2013,petrol,oil_change,39,1270.1,light,time
0.75,1915.0,BMW,3 Series,2011,petrol,oil_change,69,6085.0,heavy,km
4.02,7410.9,Honda,Civic,2012,petrol,full_service,11,589.1,average,km
0.63,1650.7,Hyundai,i20,2022,petrol,oil_change,110,9349.3,heavy,km
4.22,12099.9,Maruti,Vitara,2016,diesel,inspection,27,2610.0,heavy,time
5.11,4012.6,Ford,Fiesta,2020,petrol,full_service,14,368.2,light,time
3.6,6180.2,Hyundai,i20,2017,diesel,oil_change,41,2313.0,average,time
3.31,8802.5,Ford,Fiesta,2019,petrol,brake_service,14,1197.5,heavy,km
1.22,3968.7,Hyundai,Creta,2024,petrol,inspection,67,7031.3,heavy,km
0.47,703.0,Maruti,Swift,2016,hybrid,full_service,191,9021.3,average,time
2.55,6942.7,Honda,CR-V,2015,petrol,brake_service,11,1057.3,heavy,km
3.81,3170.3,Ford,Escape,2021,diesel,oil_change,46,1258.0,light,time
5.89,9846.8,Honda,Civic,2017,diesel,oil_change,22,1223.7,average,time
1.04,1421.1,Toyota,Corolla,2013,diesel,brake_service,141,6609.6,average,time
5.03,4847.4,Maruti,Baleno,2011,petrol,brake_service,31,997.5,light,time
1.89,4233.4,Ford,Escape,2014,diesel,full_service,103,7766.6,heavy,km
2.15,2228.5,BMW,X3,2013,hybrid,oil_change,126,4245.2,light,time
0.97,2516.1,Maruti,Vitara,2013,petrol,oil_change,64,5483.9,heavy,km
4.22,5409.8,Ford,Focus,2019,diesel,full_service,55,2350.6,average,time
3.23,5968.3,Volkswagen,Golf,2010,petrol,oil_change,33,2031.7,average,km
1.73,5378.9,Ford,Fiesta,2017,petrol,full_service,44,4621.1,heavy,km
5.33,9549.2,Ford,Fiesta,2020,petrol,brake_service,6,450.8,average,km
4.3,3596.2,Hyundai,i20,2011,petrol,oil_change,46,1282.2,light,time
2.46,4262.0,Toyota,RAV4,2024,petrol,full_service,102,5822.5,average,time
2.24,2128.7,Honda,CR-V,2017,electric,inspection,226,7002.0,light,time
5.04,8832.9,BMW,5 Series,2021,petrol,brake_service,24,1403.6,average,time
6.83,6337.2,Maruti,Vitara,2022,diesel,oil_change,3,95.0,light,time
1.4,4337.2,Toyota,Corolla,2019,petrol,full_service,57,5662.8,heavy,km
1.27,1457.7,Hyundai,Creta,2011,petrol,oil_change,120,4543.9,average,time
0.39,547.6,Maruti,Swift,2011,petrol,full_service,150,7452.4,average,km
0.48,479.6,Honda,Civic,2012,hybrid,full_service,148,4377.0,light,time
2.15,6675.1,Hyundai,i20,2018,petrol,full_service,32,3324.9,heavy,km
3.15,6795.1,Maruti,Vitara,2017,electric,oil_change,321,22618.1,average,time
4.98,6405.1,Ford,Focus,2014,diesel,full_service,35,1461.1,average,time
2.63,2017.9,Hyundai,Creta,2019,petrol,oil_change,92,2299.8,light,time
6.07,4739.2,Hyundai,Tucson,2016,hybrid,brake_service,9,235.3,light,time
10.78,35132.0,Honda,Civic,2023,electric,brake_service,57,6142.0,heavy,time
5.63,7219.8,BMW,5 Series,2017,petrol,full_service,30,1251.6,average,time
1.38,2540.3,Honda,CR-V,2024,petrol,full_service,138,8459.7,average,km
3.5,8399.7,Toyota,Corolla,2024,diesel,oil_change,64,5067.7,heavy,time
1.95,2023.0,Maruti,Baleno,2024,diesel,oil_change,110,3810.4,average,time
2.46,4033.6,Toyota,Corolla,2017,hybrid,inspection,89,4870.6,average,time
4.06,6188.9,Ford,Fiesta,2023,petrol,full_service,55,2732.6,average,time
3.76,5608.3,Honda,Accord,2020,petrol,full_service,70,3467.4,average,time
3.73,6517.1,Ford,Fiesta,2010,petrol,oil_change,26,1482.9,average,km
4.08,5568.0,Honda,Civic,2019,diesel,oil_change,34,1499.5,average,time
5.53,4787.6,Hyundai,i20,2021,diesel,oil_change,13,350.1,light,time
2.74,2716.9,Maruti,Baleno,2018,petrol,oil_change,97,3098.2,light,time
1.9,3039.7,Honda,Civic,2024,petrol,full_service,152,7960.3,average,km
5.14,4134.7,Toyota,RAV4,2020,petrol,brake_service,25,674.3,light,time
1.52,3012.8,Hyundai,Tucson,2015,hybrid,full_service,100,6587.2,average,km
2.13,3694.4,Volkswagen,Tiguan,2016,petrol,full_service,115,6305.6,average,km
2.14,3786.7,Honda,Civic,2022,petrol,full_service,119,6855.3,average,time
3.46,6105.0,Maruti,Swift,2020,petrol,oil_change,66,3895.0,average,km
2.15,3735.2,Volkswagen,Golf,2015,electric,oil_change,289,16244.4,average,time
0.48,213.0,BMW,3 Series,2013,electric,oil_change,341,5640.4,light,time
0.25,111.2,Toyota,Camry,2015,petrol,oil_change,182,3969.4,light,time
9.63,25891.0,Ford,Escape,2010,electric,full_service,89,7871.9,heavy,time
0.39,1426.1,Hyundai,i20,2021,petrol,inspection,86,9573.9,heavy,km
2.51,6854.3,Honda,Accord,2012,petrol,inspection,12,1145.7,heavy,km
2.11,3499.4,Toyota,RAV4,2010,petrol,oil_change,83,4500.6,average,km
3.09,4198.5,Maruti,Baleno,2021,hybrid,full_service,90,4009.9,average,time
5.83,9516.6,Ford,Fiesta,2016,diesel,inspection,48,2561.6,average,time
2.57,9456.7,Maruti,Baleno,2018,petrol,inspection,6,543.3,heavy,km
3.01,5659.0,Honda,Civic,2010,diesel,full_service,84,5212.4,average,time
3.41,5755.2,Ford,Escape,2013,petrol,oil_change,40,2244.8,average,km
5.89,5926.4,Maruti,Vitara,2024,petrol,full_service,15,485.2,light,time
2.29,1480.6,BMW,X3,2015,electric,oil_change,285,5966.9,light,time
4.8,7051.3,Ford,Fiesta,2011,diesel,oil_change,75,3677.2,average,time
1.18,4688.1,Ford,Escape,2017,diesel,oil_change,78,10311.9,heavy,km
2.07,3159.1,Toyota,Camry,2015,petrol,oil_change,95,4840.9,average,km
4.57,6932.1,Toyota,Camry,2014,hybrid,brake_service,35,1754.9,average,time
0.78,1666.7,BMW,5 Series,2024,diesel,full_service,143,10025.8,average,time
4.81,7837.3,Volkswagen,Tiguan,2018,diesel,full_service,22,1154.6,average,time
1.88,3362.6,BMW,3 Series,2022,petrol,full_service,106,6061.2,average,time
4.8,3551.2,Hyundai,Tucson,2020,petrol,oil_change,59,1461.0,light,time
4.27,5821.4,Volkswagen,Tiguan,2010,petrol,full_service,47,2178.6,average,km
2.12,6734.6,Honda,Accord,2023,petrol,oil_change,41,4265.4,heavy,km
0.51,1652.9,Hyundai,Creta,2015,petrol,oil_change,60,6347.1,heavy,km
11.98,22376.1,Volkswagen,Polo,2024,electric,oil_change,5,315.3,average,time
1.01,832.5,Toyota,Camry,2017,diesel,full_service,172,4534.1,light,time
4.89,8463.1,Volkswagen,Golf,2018,hybrid,oil_change,55,3107.1,average,time
0.42,566.1,Hyundai,Tucson,2022,petrol,inspection,164,7810.1,average,time
1.1,925.2,Volkswagen,Golf,2014,diesel,full_service,173,4549.4,light,time
2.5,2246.7,Volkswagen,Polo,2023,petrol,full_service,101,2846.8,light,time
5.52,4954.9,Ford,Focus,2020,petrol,oil_change,24,702.9,average,time
0.38,321.3,Ford,Escape,2022,diesel,oil_change,171,4700.7,light,time
0.13,415.4,Ford,Escape,2011,petrol,full_service,80,7584.6,heavy,km
1.9,6406.4,Toyota,Camry,2012,petrol,oil_change,14,1593.6,heavy,km
2.3,8247.5,Honda,Civic,2017,hybrid,oil_change,31,3752.5,heavy,km
0.48,972.2,Hyundai,Tucson,2017,diesel,oil_change,161,10231.8,average,time
4.39,1908.4,Volkswagen,Tiguan,2022,petrol,brake_service,58,829.7,light,time
4.19,11415.0,Toyota,RAV4,2020,hybrid,full_service,6,585.0,heavy,km
3.03,3280.4,BMW,X3,2015,petrol,oil_change,96,3478.0,average,time
4.26,3089.9,Maruti,Vitara,2018,petrol,full_service,71,1704.9,light,time
3.14,4644.8,Toyota,Camry,2021,diesel,oil_change,44,2146.0,average,time
1.92,3888.1,Toyota,Corolla,2021,petrol,inspection,108,7111.9,average,km
1.53,4642.9,Ford,Fiesta,2013,diesel,oil_change,73,7357.1,heavy,km
4.71,6043.1,Ford,Escape,2011,petrol,oil_change,41,1755.6,average,time
3.2,2451.2,Maruti,Vitara,2012,diesel,oil_change,86,2216.3,light,time
5.37,3903.6,Ford,Escape,2017,hybrid,oil_change,33,794.8,light,time
1.43,1266.3,BMW,X3,2010,electric,full_service,300,9341.7,light,time
0.99,751.8,Hyundai,Creta,2012,hybrid,oil_change,138,3159.3,light,time
3.48,6077.7,Ford,Escape,2016,diesel,brake_service,60,3505.4,average,time
2.38,3167.3,Honda,Accord,2010,diesel,brake_service,114,5015.7,average,time
5.82,9680.3,Toyota,Camry,2017,diesel,oil_change,5,296.0,average,time
1.41,2262.2,Ford,Fiesta,2018,petrol,full_service,100,5123.0,average,time
3.62,3440.0,Honda,Accord,2023,petrol,full_service,100,3089.1,light,time
2.47,4542.7,Toyota,RAV4,2011,petrol,full_service,57,3457.3,average,km
0.41,1222.1,Honda,Accord,2013,diesel,inspection,114,10777.9,heavy,km
4.88,4750.8,BMW,X3,2015,petrol,oil_change,44,1406.2,light,time
5.33,9535.8,Volkswagen,Polo,2020,petrol,oil_change,8,464.2,average,km
1.75,2667.3,Maruti,Vitara,2021,petrol,oil_change,166,8222.7,average,time
1.02,1582.1,Maruti,Vitara,2017,hybrid,inspection,113,5533.9,average,time
7.67,29489.1,Hyundai,Creta,2023,electric,brake_service,173,21840.4,heavy,time
3.12,6396.1,Toyota,Corolla,2020,petrol,oil_change,54,3603.9,average,km
4.69,6128.1,Honda,Accord,2013,petrol,inspection,44,1871.9,average,km
2.4,7970.6,Volkswagen,Tiguan,2015,petrol,inspection,0,29.4,heavy,km
0.59,1843.0,Volkswagen,Polo,2016,diesel,brake_service,127,13157.0,heavy,km
0.37,867.4,Maruti,Baleno,2018,petrol,full_service,110,9132.6,heavy,km
2.85,3020.7,Honda,Accord,2016,diesel,oil_change,83,2858.6,average,time
1.45,4569.3,Toyota,Camry,2019,diesel,inspection,103,10430.7,heavy,km
5.24,3472.3,Volkswagen,Polo,2013,diesel,full_service,22,475.3,light,time
1.65,5478.7,Volkswagen,Tiguan,2018,petrol,oil_change,41,4521.3,heavy,km
2.56,9898.1,Toyota,Corolla,2017,diesel,inspection,42,5101.9,heavy,km
0.17,85.8,Volkswagen,Polo,2010,petrol,oil_change,167,4367.8,light,time
4.06,6074.4,Maruti,Swift,2015,hybrid,oil_change,33,1623.9,average,time
2.69,5442.8,Maruti,Swift,2020,hybrid,full_service,92,6164.1,average,time
5.18,9040.1,Ford,Focus,2018,diesel,oil_change,48,2711.2,average,time
2.54,9218.9,Volkswagen,Polo,2021,petrol,oil_change,14,1781.1,heavy,km
2.69,8686.5,Hyundai,Tucson,2023,hybrid,full_service,42,4513.5,heavy,km
6.18,4799.6,Toyota,Corolla,2018,petrol,oil_change,2,42.7,light,time
2.08,5058.7,Maruti,Swift,2010,hybrid,inspection,57,4541.3,heavy,km
4.23,2262.9,Volkswagen,Polo,2011,petrol,oil_change,57,1015.6,light,time
3.87,9326.5,BMW,5 Series,2022,petrol,oil_change,21,1673.5,heavy,km
3.29,6594.4,Hyundai,Tucson,2021,petrol,brake_service,66,4405.6,average,km
5.16,3715.2,Volkswagen,Golf,2020,petrol,oil_change,22,536.3,light,time
1.91,1221.4,Hyundai,Creta,2017,petrol,full_service,136,2776.0,light,time
9.24,8533.7,Honda,CR-V,2024,electric,full_service,64,1968.6,light,time
1.67,1405.9,Hyundai,Creta,2013,petrol,full_service,129,3230.9,light,time
3.33,3473.9,Volkswagen,Golf,2016,hybrid,oil_change,69,2326.6,light,time
5.25,3803.3,Volkswagen,Golf,2019,hybrid,oil_change,50,1203.2,light,time
1.93,3372.2,Ford,Focus,2021,petrol,full_service,119,6931.0,average,time
2.86,4679.8,Volkswagen,Golf,2019,petrol,brake_service,99,5320.2,average,km
